,0
0,green
1,red
2,green
3,green
4,green
5,green
6,green
7,green
8,green
9,red
10,green
11,green
12,red
13,green
14,red
15,red
16,red
17,red
18,red
19,red
20,green
21,red
22,red
23,green
24,red
25,green
26,red
27,green
28,red
29,red
30,red
31,green
32,red
33,red
34,red
35,green
36,green
37,green
38,red
39,red
40,green
41,red
42,green
43,red
44,red
45,red
46,green
47,red
48,green
49,red
50,green
51,red
52,red
53,red
54,red
55,red
56,red
57,red
58,red
59,green
60,red
61,green
62,green
63,red
64,green
65,red
66,red
67,red
68,green
69,red
70,red
71,red
72,red
73,red
74,red
75,green
76,green
77,green
78,red
79,red
80,green
81,red
82,red
83,green
84,red
85,red
86,green
87,red
88,green
89,red
90,green
91,red
92,green
93,red
94,red
95,red
96,red
97,green
98,red
99,green
100,red
101,red
102,red
103,red
104,red
105,red
106,red
107,red
108,green
109,red
110,red
111,red
112,red
113,red
114,green
115,red
116,red
117,red
118,red
119,red
120,red
121,red
122,red
123,green
124,red
125,green
126,green
127,red
128,red
129,green
130,green
131,red
132,red
133,red
134,red
135,green
136,red
137,green
138,green
139,red
140,green
141,red
142,green
143,red
144,red
145,red
146,green
147,green
148,red
149,green
150,red
151,red
152,red
153,green
154,red
155,red
156,red
157,red
158,red
159,red
160,red
161,green
162,red
163,red
164,red
165,red
166,green
167,red
168,red
169,red
170,red
171,green
172,red
173,red
174,green
175,red
176,green
177,green
178,red
179,green
180,green
181,red
182,red
183,red
184,red
185,green
186,green
187,green
188,red
189,red
190,green
191,red
192,red
193,red
194,red
195,red
196,red
197,green
198,red
199,red
200,red
201,red
202,red
203,red
204,red
205,red
206,green
207,green
208,red
209,red
210,red
211,red
212,red
213,red
214,green
215,red
216,green
217,red
218,red
219,red
220,red
221,green
222,red
223,red
224,red
225,green
226,red
227,red
228,red
229,red
230,red
231,red
232,red
233,red
234,red
235,red
236,red
237,green
238,green
239,red
